response_id,respondent_id,team_id,project_id,question_id,score,submitted_at
R030,EMP03,T002,P02,Q06,4,2025-03-16 14:22:00
R031,EMP03,T002,P02,Q07,3,2025-03-16 14:22:00
R032,EMP03,T002,P02,Q08,4,2025-03-16 14:22:00
R033,EMP03,T002,P02,Q09,3,2025-03-16 14:23:00
R034,EMP03,T002,P02,Q10,2,2025-03-16 14:23:00
R035,EMP03,T002,P02,Q11,3,2025-03-16 14:23:00
R036,EMP03,T002,P02,Q12,4,2025-03-16 14:24:00
R037,EMP04,T002,P02,Q01,4,2025-03-16 15:00:00
R038,EMP04,T002,P02,Q02,3,2025-03-16 15:00:00
R039,EMP04,T002,P02,Q03,5,2025-03-16 15:01:00
R040,EMP04,T002,P02,Q04,4,2025-03-16 15:01:00
R041,EMP04,T002,P02,Q05,4,2025-03-16 15:01:00
R042,EMP04,T002,P02,Q06,3,2025-03-16 15:02:00
R043,EMP04,T002,P02,Q07,4,2025-03-16 15:02:00
R044,EMP04,T002,P02,Q08,5,2025-03-16 15:02:00
R045,EMP04,T002,P02,Q09,4,2025-03-16 15:03:00
R046,EMP04,T002,P02,Q10,3,2025-03-16 15:03:00
R047,EMP04,T002,P02,Q11,4,2025-03-16 15:03:00
R048,EMP04,T002,P02,Q12,5,2025-03-16 15:04:00
R049,EMP05,T003,P03,Q01,3,2025-03-17 11:00:00
R050,EMP05,T003,P03,Q02,3,2025-03-17 11:00:00
R051,EMP05,T003,P03,Q03,2,2025-03-17 11:01:00
R052,EMP05,T003,P03,Q04,3,2025-03-17 11:01:00
R053,EMP05,T003,P03,Q05,4,2025-03-17 11:01:00
R054,EMP05,T003,P03,Q06,1,2025-03-17 11:02:00
R055,EMP05,T003,P03,Q07,3,2025-03-17 11:02:00
R056,EMP05,T003,P03,Q08,3,2025-03-17 11:02:00
R057,EMP05,T003,P03,Q09,4,2025-03-17 11:03:00
R058,EMP05,T003,P03,Q10,2,2025-03-17 11:03:00
R059,EMP05,T003,P03,Q11,2,2025-03-17 11:03:00
R060,EMP05,T003,P03,Q12,3,2025-03-17 11:04:00
R049,EMP05,T003,P03,Q01,3,2025-03-17 11:00:00
R061,EMP06,T003,P03,Q01,4,2025-03-17 13:30:00
R062,EMP06,T003,P03,Q02,4,2025-03-17 13:30:00
R063,EMP06,T003,P03,Q03,3,2025-03-17 13:31:00
R064,EMP06,T003,P03,Q04,4,2025-03-17 13:31:00
R065,EMP06,T003,P03,Q05,5,2025-03-17 13:31:00
R066,EMP06,T003,P03,Q06,2,2025-03-17 13:32:00
R067,EMP06,T003,P03,Q07,4,2025-03-17 13:32:00
R068,EMP06,T003,P03,Q08,4,2025-03-17 13:32:00
R069,EMP06,T003,P03,Q09,3,2025-03-17 13:33:00
R070,EMP06,T003,P03,Q10,3,2025-03-17 13:33:00
R071,EMP06,T003,P03,Q11,3,2025-03-17 13:33:00
R072,EMP06,T003,P03,Q12,4,2025-03-17 13:34:00
R073,EMP07,T003,P03,Q01,5,2025-03-17 14:00:00
R074,EMP07,T003,P03,Q02,4,2025-03-17 14:00:00
R075,EMP07,T003,P03,Q03,4,2025-03-17 14:01:00
R076,EMP07,T003,P03,Q04,3,2025-03-17 14:01:00
R077,EMP07,T003,P03,Q05,4,2025-03-17 14:01:00
R078,EMP07,T003,P03,Q06,3,2025-03-17 14:02:00
R079,EMP07,T003,P03,Q07,4,2025-03-17 14:02:00
R080,EMP07,T003,P03,Q08,5,2025-03-17 14:02:00
R081,EMP07,T003,P03,Q09,4,2025-03-17 14:03:00
R082,EMP07,T003,P03,Q10,3,2025-03-17 14:03:00
R083,EMP07,T003,P03,Q11,4,2025-03-17 14:03:00
R084,EMP07,T003,P03,Q12,5,2025-03-17 14:04:00
R085,EMP08,T004,P04,Q01,4,2025-03-18 09:00:00
R086,EMP08,T004,P04,Q02,5,2025-03-18 09:00:00
R087,EMP08,T004,P04,Q03,5,2025-03-18 09:01:00
R088,EMP08,T004,P04,Q04,4,2025-03-18 09:01:00
R089,EMP08,T004,P04,Q05,4,2025-03-18 09:01:00
R090,EMP08,T004,P04,Q06,3,2025-03-18 09:02:00
R091,EMP08,T004,P04,Q07,5,2025-03-18 09:02:00
R092,EMP08,T004,P04,Q08,5,2025-03-18 09:02:00
R093,EMP08,T004,P04,Q09,4,2025-03-18 09:03:00
R094,EMP08,T004,P04,Q10,4,2025-03-18 09:03:00
R095,EMP08,T004,P04,Q11,5,2025-03-18 09:03:00
R096,EMP08,T004,P04,Q12,5,2025-03-18 09:04:00
R097,EMP09,T005,P05,Q01,3,2025-03-18 10:30:00
R098,EMP09,T005,P05,Q02,3,2025-03-18 10:30:00
R099,EMP09,T005,P05,Q03,4,2025-03-18 10:31:00
R100,EMP09,T005,P05,Q04,2,2025-03-18 10:31:00
R101,EMP09,T005,P05,Q05,3,2025-03-18 10:31:00
R102,EMP09,T005,P05,Q06,4,2025-03-18 10:32:00
R103,EMP09,T005,P05,Q07,3,2025-03-18 10:32:00
R104,EMP09,T005,P05,Q08,4,2025-03-18 10:32:00
R105,EMP09,T005,P05,Q09,3,2025-03-18 10:33:00
R106,EMP09,T005,P05,Q10,2,2025-03-18 10:33:00
R107,EMP09,T005,P05,Q11,3,2025-03-18 10:33:00
R108,EMP09,T005,P05,Q12,3,2025-03-18 10:34:00
